,combined_fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,state_abbr,county_name,FIPS,total_votes_2012,votes_dem_2012,votes_gop_2012,county_fips,state_fips,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
231,6091,601.0,1048.0,1804.0,0.33314855875831484,0.5809312638580931,447,-0.2477827050997783,CA,Sierra County,North,06091,1779.0,652.0,1056.0,091,06,0.36649803260258573,0.5935919055649241,404.0,-0.2270938729623384
232,6093,7106.0,11212.0,19836.0,0.35823754789272033,0.5652349263964509,4106,-0.20699737850373057,CA,Siskiyou County,North,06093,17505.0,7110.0,9844.0,093,06,0.40616966580976865,0.5623536132533562,2734.0,-0.15618394744358755
233,6095,97159.0,49595.0,156067.0,0.6225467267263419,0.31778018415167847,47564,0.30476654257466346,CA,Solano County,North,06095,138565.0,87225.0,48364.0,095,06,0.6294879659365641,0.349034749034749,38861.0,0.28045321690181507
234,6097,116027.0,37421.0,164060.0,0.7072229672071193,0.22809338047055955,78606,0.47912958673655975,CA,Sonoma County,North,06097,175738.0,124504.0,45666.0,097,06,0.7084637357885033,0.2598527353218996,78838.0,0.4486110004666037
235,6099,73939.0,72960.0,156141.0,0.4735399414631647,0.46726996752934846,979,0.006269973933816231,CA,Stanislaus County,North,06099,143620.0,70609.0,69549.0,099,06,0.4916376549227127,0.4842570672608272,1060.0,0.00738058766188554
236,6101,11831.0,16780.0,30429.0,0.38880673042163727,0.5514476321929738,4949,-0.1626409017713365,CA,Sutter County,North,06101,20988.0,8004.0,12576.0,101,06,0.38136077758719267,0.599199542595769,4572.0,-0.21783876500857635
237,6103,6571.0,14981.0,22875.0,0.2872568306010929,0.6549071038251366,8410,-0.3676502732240437,CA,Tehama County,North,06103,17356.0,6032.0,10791.0,103,06,0.34754551740032263,0.6217446416224937,4759.0,-0.274199124222171
238,6105,1876.0,2409.0,4716.0,0.3977947413061917,0.5108142493638677,533,-0.11301950805767597,CA,Trinity County,North,06105,5030.0,2367.0,2422.0,105,06,0.4705765407554672,0.4815109343936382,55.0,-0.010934393638171003
239,6107,39099.0,50488.0,94571.0,0.41343540831756037,0.5338634465110869,11389,-0.12042803819352649,CA,Tulare County,South,06107,72832.0,29191.0,42186.0,107,06,0.4007990992970123,0.5792234182776801,12995.0,-0.1784243189806678
240,6109,8580.0,13486.0,23472.0,0.36554192229038857,0.5745569188820723,4906,-0.2090149965916837,CA,Tuolumne County,North,06109,23730.0,9628.0,13410.0,109,06,0.40573114201432786,0.5651074589127687,3782.0,-0.15937631689844084
241,6111,170489.0,118764.0,307881.0,0.5537496630191535,0.3857464409950598,51725,0.16800322202409373,CA,Ventura County,Mid,06111,267907.0,138119.0,123919.0,111,06,0.5155483059419873,0.46254483832076054,14200.0,0.05300346762122676
242,6113,34460.0,13178.0,50623.0,0.6807182505975544,0.2603164569464473,21282,0.42040179365110714,CA,Yolo County,North,06113,59613.0,38856.0,19080.0,113,06,0.6518041366815963,0.320064415479845,19776.0,0.3317397212017513
243,6115,7234.0,12313.0,21058.0,0.34352740051286923,0.5847183968088138,5079,-0.24119099629594454,CA,Yuba County,North,06115,15009.0,5817.0,8746.0,115,06,0.38756745952428545,0.5827170364447998,2929.0,-0.19514957692051432
